rank,name,score,AdmissionRate,MatriculationRate,SAT75Equiv,SAT25Equiv,GraduationRate,RetentionRate,Tuition,ExpensesPerStudent,ProfessorSalary,PercentUndergradOutOfState,PercentUndergradForeign,PercentWomen,PercentUndergrad18-24,StudentToFacultyRatio,Enrollment,FulltimeUndergradEnrollment
752,Simmons College,287726.6,52.2,14.5,1880.0,1612.7,67.0,86.0,35380.0,23057.0,90630.0,45.0,0.0,92,86.0,10,4802,1484
753,Franklin Pierce University,287683.3,84.3,15.0,1577.3,1277.3,46.0,67.0,31000.0,17828.9,55575.0,74.0,1.0,56,76.3,12,2275,1507
754,Shenandoah University,287566.0,82.6,26.5,1665.1,1312.6,55.0,76.0,29934.0,19636.8,79380.0,42.0,1.0,64,87.0,10,3693,1823
755,Arkansas Tech University,287556.0,86.3,54.2,1711.5,1290.0,45.0,67.0,5598.0,8303.1,75546.0,4.0,2.0,56,55.0,20,12002,7028
756,Fitchburg State University,287528.5,72.3,26.3,1668.1,1353.2,57.0,77.0,8985.0,11086.2,92997.0,8.0,0.0,63,81.0,15,6810,3419
757,Purdue University-Calumet Campus,287485.3,59.7,67.4,1605.0,1290.0,31.0,74.0,6624.0,10394.2,92988.0,9.0,5.0,56,55.0,19,9501,4905
758,Maryville University of Saint Louis,287452.0,72.1,37.0,1810.3,1578.3,66.0,86.0,25002.0,9330.8,81918.0,33.0,0.0,79,76.3,13,5931,1852
759,Newberry College,287430.5,56.7,46.7,1582.1,1237.9,41.0,72.0,23800.0,19745.5,49977.0,24.0,3.0,47,92.0,12,1093,1049
760,Colorado Mesa University,287430.1,82.3,38.2,1591.9,1290.6,33.0,66.0,6725.0,9166.6,75843.0,16.0,0.0,54,72.0,23,9116,6969
761,University of Louisiana at Monroe,287375.8,77.2,41.4,1710.0,1350.0,41.0,70.0,6318.0,12111.9,80307.0,7.0,3.0,64,68.0,21,8517,4916
762,Furman University,287336.2,68.7,23.2,1100.0,1100.0,84.0,89.0,43164.0,39891.1,95211.0,68.0,4.0,58,96.0,11,2973,2696
763,McDaniel College,287051.3,76.1,18.3,1805.0,1470.0,68.0,83.0,36960.0,15430.1,83538.0,40.0,3.0,64,76.3,11,3206,1623
764,Providence College,286931.1,63.1,18.2,1100.0,1100.0,86.0,92.0,43245.0,27028.3,110511.0,90.0,2.0,56,92.0,12,4533,3717
765,Judson University,286782.5,73.1,39.1,1789.5,1423.0,50.0,69.0,27530.0,16305.5,59517.0,27.0,2.0,59,76.3,10,1288,781
766,Spelman College,286642.1,54.0,23.6,1650.0,1350.0,74.0,89.0,24634.0,34089.0,91656.0,74.0,1.0,100,76.3,10,2135,2072
767,Missouri Southern State University,286602.2,96.0,44.5,1650.0,1290.0,37.0,65.0,5376.0,10677.3,68607.0,21.0,1.0,58,65.0,18,5613,4140
768,University of Sioux Falls,286566.8,97.2,17.0,1708.5,1346.2,53.0,72.0,24550.0,14566.1,63306.0,54.0,1.0,61,76.3,14,1419,901
769,Thiel College,286422.2,69.5,16.3,1590.0,1309.1,36.0,69.0,27102.0,21564.1,65673.0,34.0,2.0,47,95.0,13,1074,1039
770,Tarleton State University,286408.2,52.5,41.1,1584.3,1295.7,45.0,68.0,5856.0,11917.8,92646.0,1.0,0.0,61,78.0,19,11681,8055
771,Indiana University-Purdue University-Fort Wayne,286332.7,90.9,50.7,1667.1,1328.5,26.0,68.0,7013.0,10549.9,86994.0,5.0,1.0,56,58.0,17,13214,6971
772,College of Staten Island CUNY,286309.7,94.3,23.1,1650.0,1365.0,27.0,80.0,6158.0,13385.1,108414.0,1.0,1.0,57,61.0,18,14346,10045
773,Lawrence University,286133.6,73.0,19.2,1100.0,1100.0,80.0,90.0,41226.0,36414.0,88668.0,61.0,12.0,54,97.0,9,1511,1473
774,Southeastern University,286132.6,43.9,60.5,1595.0,1270.0,42.0,66.0,19986.0,10611.6,80874.0,31.0,2.0,56,78.0,18,3834,2715
775,Queens University of Charlotte,286130.7,78.4,18.7,1751.2,1391.2,62.0,73.0,29700.0,22743.1,87246.0,41.0,6.0,70,76.3,10,2248,1369
776,University of Northwestern-St Paul,286120.8,69.5,46.6,1827.9,1479.3,67.0,80.0,28020.0,12922.4,62109.0,25.0,0.0,59,54.0,18,3427,1931
777,University of Wisconsin-Green Bay,286089.7,87.4,45.3,1710.0,1410.0,51.0,78.0,7676.0,11195.1,71595.0,8.0,2.0,66,63.0,23,6927,4233
778,Ashford University,286088.9,100.0,0.0,1100.0,1100.0,18.0,42.0,10312.0,11058.4,68985.0,94.0,1.0,70,76.3,14,51237,45324
779,Southern Connecticut State University,286002.1,71.5,39.4,1544.7,1239.1,53.0,75.0,9020.0,17563.2,91368.0,4.0,0.0,64,82.0,14,10825,6802
780,Texas Lutheran University,285933.3,55.9,36.5,1678.6,1369.1,44.0,70.0,25890.0,22458.4,73287.0,1.0,0.0,52,92.0,13,1320,1229
781,Belmont Abbey College,285908.2,69.2,21.7,1670.7,1321.0,38.0,63.0,18500.0,14490.5,57294.0,46.0,0.0,57,76.3,16,1560,1452
782,Maryville College,285802.7,70.8,23.2,1736.8,1387.9,54.0,71.0,31132.0,17848.8,74610.0,34.0,2.0,54,76.3,13,1213,1166
783,University of St Thomas,285663.9,79.0,36.1,1834.5,1500.9,52.0,88.0,28240.0,17242.8,72999.0,2.0,11.0,66,75.0,9,3448,1271
784,Texas A & M University-Corpus Christi,285643.4,84.6,29.8,1602.8,1302.8,38.0,56.0,7172.0,14995.7,95463.0,2.0,3.0,60,80.0,23,11256,7130
785,Worcester State University,285616.4,61.3,31.1,1663.5,1340.7,53.0,82.0,8157.0,10163.0,91737.0,6.0,0.0,62,77.0,16,6350,4157
786,Maine Maritime Academy,285567.3,78.6,38.4,1704.2,1386.2,70.0,78.0,11950.0,31191.0,89012.8,22.0,0.0,14,76.3,13,1060,1018
787,Lock Haven University,285510.7,93.4,29.1,1573.6,1273.6,47.0,68.0,8899.0,15160.2,104427.0,6.0,0.0,58,90.0,21,4917,4165
788,Morningside College,285504.7,56.8,15.0,1710.0,1468.7,54.0,75.0,25990.0,9653.3,71046.0,41.0,2.0,68,92.0,13,2823,1279
789,Northeastern State University,285439.7,75.0,62.6,1649.0,1348.9,31.0,61.0,4992.0,12683.3,68130.0,7.0,2.0,62,61.0,18,8310,5045
790,West Virginia University Institute of Technology,285293.0,61.9,58.4,1641.7,1285.9,19.0,53.0,5808.0,13397.7,77121.0,28.0,9.0,39,69.0,12,1261,978
791,Huntingdon College,285285.4,58.4,27.1,1647.9,1403.7,45.0,70.0,23500.0,14592.9,65853.0,29.0,0.0,49,77.0,15,1160,912
792,Saint Johns University,285112.8,78.8,38.9,1869.8,1572.3,80.0,88.0,37162.0,30626.4,90918.0,20.0,5.0,3,98.0,12,1895,1758
793,Central State University,285103.5,37.7,18.1,1298.9,1092.3,22.0,51.0,6058.0,23863.2,76968.0,56.0,0.0,54,84.0,12,1751,1576
794,Lewis University,285002.0,61.9,20.8,1710.0,1470.2,62.0,83.0,26780.0,16302.3,103536.0,7.0,1.0,60,77.0,13,6689,3816
795,Henderson State University,284775.0,62.8,34.5,1646.4,1293.6,36.0,60.0,7580.0,12534.5,59661.0,17.0,1.0,57,76.3,17,3627,2923
796,Nebraska Wesleyan University,284724.7,78.1,26.5,1822.2,1525.3,69.0,81.0,27242.0,15551.1,66933.0,11.0,1.0,64,77.0,12,2083,1511
797,Midland University,284698.6,60.2,29.5,1770.0,1230.0,48.0,59.0,27146.0,13779.5,58626.0,41.0,0.0,50,76.3,10,1362,1191
798,Otis College of Art and Design,284632.0,66.5,26.7,1721.0,1301.0,63.0,79.0,39430.0,32308.8,70767.0,18.0,30.0,67,76.3,7,1146,1080
